title,text,summary,url,published_at,category,source
«Враг у ворот». Кубу охватили беспорядки. Чего добивается Трамп и может ли он начать новую военную операцию?,«Враг у ворот». Кубу охватили беспорядки. Чего добивается Трамп и может ли он начать новую военную операцию?,«Враг у ворот». Кубу охватили беспорядки. Чего добивается Трамп и может ли он начать новую военную операцию?,https://lenta.ru/news/2026/03/17/cuba/,,,parsed_html:lenta
Игрок «Авангарда» Шарипзянов побил рекорд результативности КХЛ среди защитников,Игрок «Авангарда» Шарипзянов побил рекорд результативности КХЛ среди защитников,Игрок «Авангарда» Шарипзянов побил рекорд результативности КХЛ среди защитников,https://lenta.ru/news/2026/03/17/igrok-avangarda-sharipzyanov-pobil-rekord-rezultativnosti-khl-sredi-zaschitnikov/,,,parsed_html:lenta
Бывшего партнера Павла Деревянко по бизнесу приговорили к шести годам колонии,Бывшего партнера Павла Деревянко по бизнесу приговорили к шести годам колонии,Бывшего партнера Павла Деревянко по бизнесу приговорили к шести годам колонии,https://lenta.ru/news/2026/03/17/byvshego-partnera-pavla-derevyanko-po-biznesu-prigovorili-k-shesti-godam-kolonii/,,,parsed_html:lenta
Зеленский назвал число находящихся на Ближнем Востоке украинских военных,Зеленский назвал число находящихся на Ближнем Востоке украинских военных,Зеленский назвал число находящихся на Ближнем Востоке украинских военных,https://lenta.ru/news/2026/03/17/zelenskiy-nazval-chislo-nahodyaschihsya-na-blizhnem-vostoke-ukrainskih-voennyh/,,,parsed_html:lenta
Энн Хэтэуэй высмеяла слухи о пластике,Энн Хэтэуэй высмеяла слухи о пластике,Энн Хэтэуэй высмеяла слухи о пластике,https://lenta.ru/news/2026/03/17/43-letnyaya-enn-heteuey-vysmeyala-sluhi-o-plastike/,,,parsed_html:lenta
Алибасов-младший раскрыл тяжелый диагноз матери,Алибасов-младший раскрыл тяжелый диагноз матери,Алибасов-младший раскрыл тяжелый диагноз матери,https://lenta.ru/news/2026/03/17/alibasov-mladshiy-raskryl-tyazhelyy-diagnoz-materi/,,,parsed_html:lenta
Пассажир домогался стюардессы в самолете и загнал ее в угол,Пассажир домогался стюардессы в самолете и загнал ее в угол,Пассажир домогался стюардессы в самолете и загнал ее в угол,https://lenta.ru/news/2026/03/17/passazhir-domogalsya-styuardessy-v-samolete-i-zagnal-ee-v-ugol/,,,parsed_html:lenta
Известный российский журналист приехал на Украину и пришел в ужас,Известный российский журналист приехал на Украину и пришел в ужас,Известный российский журналист приехал на Украину и пришел в ужас,https://lenta.ru/news/2026/03/17/izvestnyy-rossiyskiy-zhurnalist-priehal-na-ukrainu-i-prishel-v-uzhas/,,,parsed_html:lenta
Россия столкнулась с угрозой дефицита запчастей для самолетов,Россия столкнулась с угрозой дефицита запчастей для самолетов,Россия столкнулась с угрозой дефицита запчастей для самолетов,https://lenta.ru/news/2026/03/17/deficit/,,,parsed_html:lenta
Трамп счел власти Ирана худшими людьми со времен Гитлера,Трамп счел власти Ирана худшими людьми со времен Гитлера,Трамп счел власти Ирана худшими людьми со времен Гитлера,https://lenta.ru/news/2026/03/17/tramp-schel-vlasti-irana-hudshimi-lyudmi-so-vremen-gitlera/,,,parsed_html:lenta
