title,text,summary,url,published_at,category,source
Путин помиловал 23 женщины13:11,Путин помиловал 23 женщины13:11,Путин помиловал 23 женщины13:11,https://ria.ru/20260317/putin-2081207669.html,,,parsed_html:ria
"Жители Новосибирской области, лишившиеся скота из-за пастереллеза, получат выплаты15:27","Жители Новосибирской области, лишившиеся скота из-за пастереллеза, получат выплаты15:27","Жители Новосибирской области, лишившиеся скота из-за пастереллеза, получат выплаты15:27",https://ria.ru/20260317/pasterellez-2081238175.html,,,parsed_html:ria
В Магадане произошло ощутимое землетрясение15:38,В Магадане произошло ощутимое землетрясение15:38,В Магадане произошло ощутимое землетрясение15:38,https://ria.ru/20260317/magadan-2081240859.html,,,parsed_html:ria
"Франция провела учения, имитирующие ядерный удар, пишут СМИ18:28","Франция провела учения, имитирующие ядерный удар, пишут СМИ18:28","Франция провела учения, имитирующие ядерный удар, пишут СМИ18:28",https://ria.ru/20260317/ucheniya-2081279292.html,,,parsed_html:ria
"ЕС согласовал кредит для Украины, который блокировала Венгрия, сообщил источник20:05","ЕС согласовал кредит для Украины, который блокировала Венгрия, сообщил источник20:05","ЕС согласовал кредит для Украины, который блокировала Венгрия, сообщил источник20:05",https://ria.ru/20260317/evrosoyuz-2081293170.html,,,parsed_html:ria
"""Били всю ночь"". Удар Ирана по США вызвал переполох на Западе09:23","""Били всю ночь"". Удар Ирана по США вызвал переполох на Западе09:23","""Били всю ночь"". Удар Ирана по США вызвал переполох на Западе09:23",https://ria.ru/20260317/iran-2081157984.html,,,parsed_html:ria
"Пожар на авианосце ""Джеральд Р. Форд"" тушили более 30 часов09:24","Пожар на авианосце ""Джеральд Р. Форд"" тушили более 30 часов09:24","Пожар на авианосце ""Джеральд Р. Форд"" тушили более 30 часов09:24",https://ria.ru/20260317/pozhar-2081158180.html,,,parsed_html:ria
"""Стало неожиданностью"". Реакция Трампа на ответ Ирана удивила Запад13:36","""Стало неожиданностью"". Реакция Трампа на ответ Ирана удивила Запад13:36","""Стало неожиданностью"". Реакция Трампа на ответ Ирана удивила Запад13:36",https://ria.ru/20260317/trump-2081212076.html,,,parsed_html:ria
"""Это не сработает"". Заявление Зеленского о России разозлило Запад08:50","""Это не сработает"". Заявление Зеленского о России разозлило Запад08:50","""Это не сработает"". Заявление Зеленского о России разозлило Запад08:50",https://ria.ru/20260317/zelenskiy-2081153136.html,,,parsed_html:ria
"""Единая Россия"" примет меры по поддержке строительства соцобъектов16:30","""Единая Россия"" примет меры по поддержке строительства соцобъектов16:30","""Единая Россия"" примет меры по поддержке строительства соцобъектов16:30",https://ria.ru/20260317/sotsobekt-2081253710.html,,,parsed_html:ria
Греф рассказал Путину о рекордных показателях Сбербанка14:13,Греф рассказал Путину о рекордных показателях Сбербанка14:13,Греф рассказал Путину о рекордных показателях Сбербанка14:13,https://ria.ru/20260317/putin-2081218498.html,,,parsed_html:ria
Новые методы борьбы с раком включат в ОМС14:28,Новые методы борьбы с раком включат в ОМС14:28,Новые методы борьбы с раком включат в ОМС14:28,https://ria.ru/20260317/mishustin-2081222482.html,,,parsed_html:ria
"Организаторы выступления балерины Захаровой в Риме дали понять, что были вынуждены его отменить15:44","Организаторы выступления балерины Захаровой в Риме дали понять, что были вынуждены его отменить15:44","Организаторы выступления балерины Захаровой в Риме дали понять, что были вынуждены его отменить15:44",https://ria.ru/20260317/zakharova-2081242664.html,,,parsed_html:ria
Двенадцатилетнего мальчика нашли зарезанным в квартире в Подмосковье18:21,Двенадцатилетнего мальчика нашли зарезанным в квартире в Подмосковье18:21,Двенадцатилетнего мальчика нашли зарезанным в квартире в Подмосковье18:21,https://ria.ru/20260317/malchik-2081277230.html,,,parsed_html:ria
"В США заявили, что НЛО уничтожил их ядерные ракеты15:05","В США заявили, что НЛО уничтожил их ядерные ракеты15:05","В США заявили, что НЛО уничтожил их ядерные ракеты15:05",https://ria.ru/20260317/nlo-2081234128.html,,,parsed_html:ria
"""Последовать примеру"". Сийярто выступил с радикальным планом по России11:47","""Последовать примеру"". Сийярто выступил с радикальным планом по России11:47","""Последовать примеру"". Сийярто выступил с радикальным планом по России11:47",https://ria.ru/20260317/siyyarto-2081185330.html,,,parsed_html:ria
Залужный досрочно покинул переговоры Стармера и Зеленского20:00,Залужный досрочно покинул переговоры Стармера и Зеленского20:00,Залужный досрочно покинул переговоры Стармера и Зеленского20:00,https://ria.ru/20260317/posol-2081292934.html?rcmd_alg=slotter,,,parsed_html:ria
"""ВКонтакте"" прокомментировала жалобы на работу соцсети18:41","""ВКонтакте"" прокомментировала жалобы на работу соцсети18:41","""ВКонтакте"" прокомментировала жалобы на работу соцсети18:41",https://ria.ru/20260317/vkontakte-2081282167.html?rcmd_alg=slotter,,,parsed_html:ria
Интерактивная карта спецоперации Вооруженных сил России на УкраинеПосмотреть,Интерактивная карта спецоперации Вооруженных сил России на УкраинеПосмотреть,Интерактивная карта спецоперации Вооруженных сил России на УкраинеПосмотреть,https://ria.ru/20220622/spetsoperatsiya-1795199102.html,,,parsed_html:ria
В Москве-реке нашли тело третьего пропавшего подростка15:37,В Москве-реке нашли тело третьего пропавшего подростка15:37,В Москве-реке нашли тело третьего пропавшего подростка15:37,https://ria.ru/20260317/telo-2081240232.html,,,parsed_html:ria
