title,text,summary,url,published_at,category,source
Игрок «Авангарда» Шарипзянов побил рекорд результативности КХЛ среди защитников,Игрок «Авангарда» Шарипзянов побил рекорд результативности КХЛ среди защитников,Игрок «Авангарда» Шарипзянов побил рекорд результативности КХЛ среди защитников,https://lenta.ru/news/2026/03/17/igrok-avangarda-sharipzyanov-pobil-rekord-rezultativnosti-khl-sredi-zaschitnikov/,2026-03-17 17:27:38,Спорт,parsed_rss:lenta
Бывшего партнера Павла Деревянко по бизнесу приговорили к шести годам колонии,Бывшего партнера Павла Деревянко по бизнесу приговорили к шести годам колонии,Бывшего партнера Павла Деревянко по бизнесу приговорили к шести годам колонии,https://lenta.ru/news/2026/03/17/byvshego-partnera-pavla-derevyanko-po-biznesu-prigovorili-k-shesti-godam-kolonii/,2026-03-17 17:20:50,Силовые структуры,parsed_rss:lenta
Зеленский назвал число находящихся на Ближнем Востоке украинских военных,Зеленский назвал число находящихся на Ближнем Востоке украинских военных,Зеленский назвал число находящихся на Ближнем Востоке украинских военных,https://lenta.ru/news/2026/03/17/zelenskiy-nazval-chislo-nahodyaschihsya-na-blizhnem-vostoke-ukrainskih-voennyh/,2026-03-17 17:19:00,Бывший СССР,parsed_rss:lenta
Энн Хэтэуэй высмеяла слухи о пластике,Энн Хэтэуэй высмеяла слухи о пластике,Энн Хэтэуэй высмеяла слухи о пластике,https://lenta.ru/news/2026/03/17/43-letnyaya-enn-heteuey-vysmeyala-sluhi-o-plastike/,2026-03-17 17:17:52,Ценности,parsed_rss:lenta
Алибасов-младший раскрыл тяжелый диагноз матери,Алибасов-младший раскрыл тяжелый диагноз матери,Алибасов-младший раскрыл тяжелый диагноз матери,https://lenta.ru/news/2026/03/17/alibasov-mladshiy-raskryl-tyazhelyy-diagnoz-materi/,2026-03-17 17:17:24,Культура,parsed_rss:lenta
Пассажир домогался стюардессы в самолете и загнал ее в угол,Пассажир домогался стюардессы в самолете и загнал ее в угол,Пассажир домогался стюардессы в самолете и загнал ее в угол,https://lenta.ru/news/2026/03/17/passazhir-domogalsya-styuardessy-v-samolete-i-zagnal-ee-v-ugol/,2026-03-17 17:16:56,Путешествия,parsed_rss:lenta
Известный российский журналист приехал на Украину и пришел в ужас,Известный российский журналист приехал на Украину и пришел в ужас,Известный российский журналист приехал на Украину и пришел в ужас,https://lenta.ru/news/2026/03/17/izvestnyy-rossiyskiy-zhurnalist-priehal-na-ukrainu-i-prishel-v-uzhas/,2026-03-17 17:12:53,Интернет и СМИ,parsed_rss:lenta
Россия столкнулась с угрозой дефицита запчастей для самолетов,Россия столкнулась с угрозой дефицита запчастей для самолетов,Россия столкнулась с угрозой дефицита запчастей для самолетов,https://lenta.ru/news/2026/03/17/deficit/,2026-03-17 17:09:09,Экономика,parsed_rss:lenta
Трамп счел власти Ирана худшими людьми со времен Гитлера,Трамп счел власти Ирана худшими людьми со времен Гитлера,Трамп счел власти Ирана худшими людьми со времен Гитлера,https://lenta.ru/news/2026/03/17/tramp-schel-vlasti-irana-hudshimi-lyudmi-so-vremen-gitlera/,2026-03-17 17:07:48,Мир,parsed_rss:lenta
Евросоюз создаст военный спутник для сверхнизкой орбиты,Евросоюз создаст военный спутник для сверхнизкой орбиты,Евросоюз создаст военный спутник для сверхнизкой орбиты,https://lenta.ru/news/2026/03/17/evrosoyuz-sozdast-voennyy-sputnik-dlya-sverhnizkoy-orbity/,2026-03-17 17:06:57,Наука и техника,parsed_rss:lenta
Самая красивая девушка России рассказала о неожиданном переживании после конкурсов красоты,Самая красивая девушка России рассказала о неожиданном переживании после конкурсов красоты,Самая красивая девушка России рассказала о неожиданном переживании после конкурсов красоты,https://lenta.ru/news/2026/03/17/samaya-krasivaya-devushka-rossii-rasskazala-o-neozhidannom-perezhivanii-posle-konkursov-krasoty/,2026-03-17 17:06:33,Из жизни,parsed_rss:lenta
Появились подробности о ставшем жертвой собственной матери мальчике в Ногинске,Появились подробности о ставшем жертвой собственной матери мальчике в Ногинске,Появились подробности о ставшем жертвой собственной матери мальчике в Ногинске,https://lenta.ru/news/2026/03/17/poyavilis-podrobnosti-o-stavshem-zhertvoy-sobstvennoy-materi-malchike-v-noginske/,2026-03-17 16:57:00,Силовые структуры,parsed_rss:lenta
Мексика выразила готовность принять матчи сборной Ирана на чемпионате мира по футболу,Мексика выразила готовность принять матчи сборной Ирана на чемпионате мира по футболу,Мексика выразила готовность принять матчи сборной Ирана на чемпионате мира по футболу,https://lenta.ru/news/2026/03/17/meksika-vyrazila-gotovnost-prinyat-matchi-sbornoy-irana-na-chempionate-mira-po-futbolu/,2026-03-17 16:56:00,Спорт,parsed_rss:lenta
Троевластие на Украине раскрыли,Троевластие на Украине раскрыли,Троевластие на Украине раскрыли,https://lenta.ru/news/2026/03/17/troevlastie-na-ukraine-raskryli/,2026-03-17 16:56:00,Бывший СССР,parsed_rss:lenta
Мужчина поехал с женой в Индию на День всех влюбленных и оказался на операционном столе,Мужчина поехал с женой в Индию на День всех влюбленных и оказался на операционном столе,Мужчина поехал с женой в Индию на День всех влюбленных и оказался на операционном столе,https://lenta.ru/news/2026/03/17/muzhchina-poehal-s-zhenoy-v-indiyu-na-den-vseh-vlyublennyh-i-okazalsya-na-operatsionnom-stole/,2026-03-17 16:53:47,Путешествия,parsed_rss:lenta
Трамп припомнил НАТО помощь с Украиной после отказа в просьбе по Ирану,Трамп припомнил НАТО помощь с Украиной после отказа в просьбе по Ирану,Трамп припомнил НАТО помощь с Украиной после отказа в просьбе по Ирану,https://lenta.ru/news/2026/03/17/tramp-pripomnil-nato-pomosch-s-ukrainoy-posle-otkaza-v-prosbe-po-iranu/,2026-03-17 16:51:00,Мир,parsed_rss:lenta
Еще в одном населенном пункте Новосибирской области ввели карантин по опасному заболеванию,Еще в одном населенном пункте Новосибирской области ввели карантин по опасному заболеванию,Еще в одном населенном пункте Новосибирской области ввели карантин по опасному заболеванию,https://lenta.ru/news/2026/03/17/esche-v-odnom-naselennom-punkte-novosibirskoy-oblasti-vveli-karantin-po-opasnomu-zabolevaniyu/,2026-03-17 16:50:00,Россия,parsed_rss:lenta
Сергей Зверев с голым торсом и связанными руками анонсировал съемки в клипе,Сергей Зверев с голым торсом и связанными руками анонсировал съемки в клипе,Сергей Зверев с голым торсом и связанными руками анонсировал съемки в клипе,https://lenta.ru/news/2026/03/17/sergey-zverev-s-golym-torsom-i-svyazannymi-rukami-anonsiroval-s-emki-v-klipe/,2026-03-17 16:46:00,Ценности,parsed_rss:lenta
Опасность БПЛА объявили на первой в России федеральной территории,Опасность БПЛА объявили на первой в России федеральной территории,Опасность БПЛА объявили на первой в России федеральной территории,https://lenta.ru/news/2026/03/17/opasnost-bpla-ob-yavili-na-pervoy-v-rossii-federalnoy-territorii/,2026-03-17 16:46:00,Россия,parsed_rss:lenta
Появилось видео с места происшествия с изрезанным матерью 12-летним школьником,Появилось видео с места происшествия с изрезанным матерью 12-летним школьником,Появилось видео с места происшествия с изрезанным матерью 12-летним школьником,https://lenta.ru/news/2026/03/17/poyavilos-video-s-mesta-proisshestviya-s-izrezannym-materyu-12-letnim-shkolnikom/,2026-03-17 16:44:00,Силовые структуры,parsed_rss:lenta
Популярная блогерша заметила пугающий симптом и попала в больницу,Популярная блогерша заметила пугающий симптом и попала в больницу,Популярная блогерша заметила пугающий симптом и попала в больницу,https://lenta.ru/news/2026/03/17/mickey/,2026-03-17 16:44:00,Интернет и СМИ,parsed_rss:lenta
Центробанк сообщил о росте реального курса рубля,Центробанк сообщил о росте реального курса рубля,Центробанк сообщил о росте реального курса рубля,https://lenta.ru/news/2026/03/17/podros/,2026-03-17 16:42:00,Экономика,parsed_rss:lenta
Иран впервые применил усовершенствованную баллистическую ракету,Иран впервые применил усовершенствованную баллистическую ракету,Иран впервые применил усовершенствованную баллистическую ракету,https://lenta.ru/news/2026/03/17/iran-vpervye-ispolzoval-usovershenstvovannuyu-ballisticheskuyu-raketu/,2026-03-17 16:41:00,Мир,parsed_rss:lenta
Трамп призвал расследовать расходование Украиной переданных Байденом денег,Трамп призвал расследовать расходование Украиной переданных Байденом денег,Трамп призвал расследовать расходование Украиной переданных Байденом денег,https://lenta.ru/news/2026/03/17/tramp-prizval-rassledovat-rashodovanie-ukrainoy-peredannyh-baydenom-deneg/,2026-03-17 16:38:00,Мир,parsed_rss:lenta
