title,text,summary,url,published_at,category,source
"""Енисей"" обыграл ""Самару"" и прервал серию поражений в Единой лиге ВТБ","""Енисей"" обыграл ""Самару"" и прервал серию поражений в Единой лиге ВТБ","""Енисей"" обыграл ""Самару"" и прервал серию поражений в Единой лиге ВТБ",https://ria.ru/20260317/basketbol-2081297260.html,2026-03-17 17:29:10,Лента новостей,parsed_rss:ria
Моряки могли сами устроить пожар на авианосце ВМС США,Моряки могли сами устроить пожар на авианосце ВМС США,Моряки могли сами устроить пожар на авианосце ВМС США,https://ria.ru/20260317/morjaki-2081296466.html,2026-03-17 17:26:38,Лента новостей,parsed_rss:ria
Дмитриев прокомментировал критику Трампа в адрес НАТО,Дмитриев прокомментировал критику Трампа в адрес НАТО,Дмитриев прокомментировал критику Трампа в адрес НАТО,https://ria.ru/20260317/dmitriev-2081296173.html,2026-03-17 17:25:12,Лента новостей,parsed_rss:ria
В Москве пройдет прощание с актером МХАТ имени Горького Андреем Голиковым,В Москве пройдет прощание с актером МХАТ имени Горького Андреем Голиковым,В Москве пройдет прощание с актером МХАТ имени Горького Андреем Голиковым,https://ria.ru/20260317/golikov-2081295880.html,2026-03-17 17:21:35,Лента новостей,parsed_rss:ria
"В Госдуме рассказали, как вернуть часть денег за обучение","В Госдуме рассказали, как вернуть часть денег за обучение","В Госдуме рассказали, как вернуть часть денег за обучение",https://ria.ru/20260317/vychet-2081295679.html,2026-03-17 17:21:18,Лента новостей,parsed_rss:ria
В аэропорту Сочи сняли временные ограничения,В аэропорту Сочи сняли временные ограничения,В аэропорту Сочи сняли временные ограничения,https://ria.ru/20260317/sochi-2081295570.html,2026-03-17 17:21:01,Лента новостей,parsed_rss:ria
"""Единая Россия"" отчиталась перед жителями Чувашии за 5 лет работы","""Единая Россия"" отчиталась перед жителями Чувашии за 5 лет работы","""Единая Россия"" отчиталась перед жителями Чувашии за 5 лет работы",https://ria.ru/20260317/er-2081295310.html,2026-03-17 17:16:11,Лента новостей,parsed_rss:ria
"Хоккеиста минского ""Динамо"" Спунера вывели из списка травмированных","Хоккеиста минского ""Динамо"" Спунера вывели из списка травмированных","Хоккеиста минского ""Динамо"" Спунера вывели из списка травмированных",https://ria.ru/20260317/spuner-2081295159.html,2026-03-17 17:15:40,Лента новостей,parsed_rss:ria
"Адвокат Промеса сообщил, что досудебное слушание прошло успешно","Адвокат Промеса сообщил, что досудебное слушание прошло успешно","Адвокат Промеса сообщил, что досудебное слушание прошло успешно",https://ria.ru/20260317/promes-2081295044.html,2026-03-17 17:15:23,Лента новостей,parsed_rss:ria
В Харьковской области прогремели взрывы,В Харьковской области прогремели взрывы,В Харьковской области прогремели взрывы,https://ria.ru/20260317/vzryv-2081294250.html,2026-03-17 17:12:45,Лента новостей,parsed_rss:ria
Суд в Амстердаме удовлетворил запрос защиты Промеса о доследовании,Суд в Амстердаме удовлетворил запрос защиты Промеса о доследовании,Суд в Амстердаме удовлетворил запрос защиты Промеса о доследовании,https://ria.ru/20260317/promes-2081294052.html,2026-03-17 17:12:05,Лента новостей,parsed_rss:ria
СМИ назвали визиты Зеленского в Европу отчаянными напоминаниями об Украине,СМИ назвали визиты Зеленского в Европу отчаянными напоминаниями об Украине,СМИ назвали визиты Зеленского в Европу отчаянными напоминаниями об Украине,https://ria.ru/20260317/zelenskiy-2081293479.html,2026-03-17 17:08:52,Лента новостей,parsed_rss:ria
Слушания по делам Промеса по существу начнутся 30 ноября,Слушания по делам Промеса по существу начнутся 30 ноября,Слушания по делам Промеса по существу начнутся 30 ноября,https://ria.ru/20260317/promes-2081293326.html,2026-03-17 17:08:14,Лента новостей,parsed_rss:ria
"ЕС согласовал кредит для Украины на 90 миллиардов евро, пишут СМИ","ЕС согласовал кредит для Украины на 90 миллиардов евро, пишут СМИ","ЕС согласовал кредит для Украины на 90 миллиардов евро, пишут СМИ",https://ria.ru/20260317/evrosoyuz-2081293170.html,2026-03-17 17:05:49,Лента новостей,parsed_rss:ria
Залужный досрочно покинул переговоры Стармера и Зеленского,Залужный досрочно покинул переговоры Стармера и Зеленского,Залужный досрочно покинул переговоры Стармера и Зеленского,https://ria.ru/20260317/posol-2081292934.html,2026-03-17 17:00:43,Лента новостей,parsed_rss:ria
В Германии начался суд против трех граждан Украины по делу о диверсиях,В Германии начался суд против трех граждан Украины по делу о диверсиях,В Германии начался суд против трех граждан Украины по делу о диверсиях,https://ria.ru/20260317/germaniya-2081292801.html,2026-03-17 17:00:26,Лента новостей,parsed_rss:ria
"""Спортинг"" - ""Будё-Глимт"": смотреть онлайн матч Лиги чемпионов 17 марта","""Спортинг"" - ""Будё-Глимт"": смотреть онлайн матч Лиги чемпионов 17 марта","""Спортинг"" - ""Будё-Глимт"": смотреть онлайн матч Лиги чемпионов 17 марта",https://ria.ru/20260317/sporting-bud-glimt-smotret-onlayn-2081138274.html,2026-03-17 17:00:00,Лента новостей,parsed_rss:ria
