title,text,summary,url,published_at,category,source
Захарова: РФ приняла к сведению слова Вучича о ревизии поставок сербской продукции,Захарова: РФ приняла к сведению слова Вучича о ревизии поставок сербской продукции,Захарова: РФ приняла к сведению слова Вучича о ревизии поставок сербской продукции,https://tass.ru/politika/24134697,2025-06-04 11:18:01,Политика,parsed_rss:tass
Нижегородская область и ЦБ будут сотрудничать в сфере повышения финансовой грамотности,"Министр цифрового развития и связи региона Александр Синелобов сообщил, что стороны проведут несколько мероприятий в этом направлении","Министр цифрового развития и связи региона Александр Синелобов сообщил, что стороны проведут несколько мероприятий в этом направлении",https://tass.ru/ekonomika/24134627,2025-06-04 11:17:03,Экономика и бизнес,parsed_rss:tass
МИД Ирана не пойдет на сделку с США без сохранения возможности обогащения урана,МИД Ирана не пойдет на сделку с США без сохранения возможности обогащения урана,МИД Ирана не пойдет на сделку с США без сохранения возможности обогащения урана,https://tass.ru/mezhdunarodnaya-panorama/24134665,2025-06-04 11:15:43,В мире,parsed_rss:tass
В Магаданской области объявили чрезвычайную пожарную опасность,Такие погодные условия будет сохраняться в регионе с 5 по 7 июня,Такие погодные условия будет сохраняться в регионе с 5 по 7 июня,https://tass.ru/obschestvo/24134601,2025-06-04 11:12:58,Общество,parsed_rss:tass
На арктическом форуме в Архангельске обсудят развитие автотуризма,"Заместитель директора инвестиционного департамента КРДВ Мария Бадмацыренова сообщила, что в год 80-летия Победы регионы Дальнего Востока и Арктики готовы также предложить патриотические туры","Заместитель директора инвестиционного департамента КРДВ Мария Бадмацыренова сообщила, что в год 80-летия Победы регионы Дальнего Востока и Арктики готовы также предложить патриотические туры",https://tass.ru/obschestvo/24134589,2025-06-04 11:11:16,Общество,parsed_rss:tass
В РФ первые пять месяцев 2025 года стали самыми теплыми за всю историю наблюдений,"Научный руководитель Гидрометцентра России Роман Вильфанд отметил, что нынешняя зима в России стала рекордно теплой","Научный руководитель Гидрометцентра России Роман Вильфанд отметил, что нынешняя зима в России стала рекордно теплой",https://tass.ru/obschestvo/24132977,2025-06-04 11:09:34,Общество,parsed_rss:tass
Генеративный ИИ научили определять расстояния между генами в нитях ДНК,Это ускорит разработку лекарств и методов диагностики генетических заболеваний,Это ускорит разработку лекарств и методов диагностики генетических заболеваний,https://tass.ru/nauka/24134535,2025-06-04 11:09:31,Наука,parsed_rss:tass
На Викторию Боню составили протокол по делу о пропаганде наркотиков,Материалы дела поступили в мировой судебный участок 184,Материалы дела поступили в мировой судебный участок 184,https://tass.ru/proisshestviya/24134595,2025-06-04 11:09:03,Общество,parsed_rss:tass
РЖД: погибший под Брянском машинист до конца исполнил свой долг,"Павел Мишин в момент происшествия остался в кабине и применил экстренное торможение, благодаря чему многие пассажиры выжили","Павел Мишин в момент происшествия остался в кабине и применил экстренное торможение, благодаря чему многие пассажиры выжили",https://tass.ru/obschestvo/24134521,2025-06-04 11:08:48,Общество,parsed_rss:tass
ДОМ.РФ и VK Tech займутся развитием ИИ-технологий для строительной отрасли,"Cовместная работа направлена на развитие ""полигона данных"" для строительства, который разрабатывается на базе IT-компании","Cовместная работа направлена на развитие ""полигона данных"" для строительства, который разрабатывается на базе IT-компании",https://tass.ru/nedvizhimost/24134431,2025-06-04 11:08:39,Недвижимость,parsed_rss:tass
Матвиенко: доступность детского спорта не должна измеряться кошельком родителей,"Председатель Совфеда отметила, что доступность спорта не должна измеряться кошельком родителей или доходами семьи","Председатель Совфеда отметила, что доступность спорта не должна измеряться кошельком родителей или доходами семьи",https://tass.ru/obschestvo/24133033,2025-06-04 11:06:43,Общество,parsed_rss:tass
СФ одобрил закон об упрощенном содержании объектов культурного наследия,Законом собственники объекта культурного наследия обязываются выполнять капитальный ремонт общего имущества в многоквартирных домах,Законом собственники объекта культурного наследия обязываются выполнять капитальный ремонт общего имущества в многоквартирных домах,https://tass.ru/obschestvo/24133525,2025-06-04 11:04:29,Общество,parsed_rss:tass
Список Украины из 339 детей поступил в аппарат детского омбудсмена РФ,"Ведомство работает по поручению президента, отметила Мария Львова-Белова","Ведомство работает по поручению президента, отметила Мария Львова-Белова",https://tass.ru/obschestvo/24134485,2025-06-04 11:03:57,Общество,parsed_rss:tass
"США пока не решили, продолжать или нет помощь Украине","США пока не решили, продолжать или нет помощь Украине","США пока не решили, продолжать или нет помощь Украине",https://tass.ru/mezhdunarodnaya-panorama/24134491,2025-06-04 11:03:52,В мире,parsed_rss:tass
"В МВД заявили, что информация о стрельбе возле ТРЦ ""Щелковский"" не поступала","Предварительно, пострадавших нет","Предварительно, пострадавших нет",https://tass.ru/proisshestviya/24133329,2025-06-04 11:02:07,Москва,parsed_rss:tass
Постпред США: вопрос вступления Украины в НАТО не подлежит обсуждению,Постпред США: вопрос вступления Украины в НАТО не подлежит обсуждению,Постпред США: вопрос вступления Украины в НАТО не подлежит обсуждению,https://tass.ru/mezhdunarodnaya-panorama/24134453,2025-06-04 11:01:14,В мире,parsed_rss:tass
"Рютте: НАТО рассматривает Черное и Балтийское моря как ""регионы альянса""","Подводная инфраструктура там находится под постоянной угрозой, заявил генсек организации","Подводная инфраструктура там находится под постоянной угрозой, заявил генсек организации",https://tass.ru/mezhdunarodnaya-panorama/24133783,2025-06-04 11:01:02,В мире,parsed_rss:tass
В ГД внесут законопроект о депортации мигрантов за проживание в подвалах,"По словам главы партии ""Новые люди"" Алексея Нечаева, мигранты зачастую обустраивают жилье в нежилых помещениях, например, на чердаках, в подвалах и электрощитовых, что создает угрозу безопасности","По словам главы партии ""Новые люди"" Алексея Нечаева, мигранты зачастую обустраивают жилье в нежилых помещениях, например, на чердаках, в подвалах и электрощитовых, что создает угрозу безопасности",https://tass.ru/obschestvo/24133789,2025-06-04 10:59:41,Общество,parsed_rss:tass
"Защита осужденного сопредседателя ""Голоса"" обжаловала приговор",Суд ранее приговорил Григория Мельконьянца к пяти годам колонии общего режима по делу об организации деятельности нежелательной иностранной неправительственной организации,Суд ранее приговорил Григория Мельконьянца к пяти годам колонии общего режима по делу об организации деятельности нежелательной иностранной неправительственной организации,https://tass.ru/proisshestviya/24134403,2025-06-04 10:59:18,Москва,parsed_rss:tass
Посол Палестины: мир должен перейти от слов к делу в связи с ситуацией в Газе,"Ибрагим Храиши подчеркнул, что Палестина не просит международное сообщество поставлять ей оружие, а всего лишь призывает к соблюдению международного права","Ибрагим Храиши подчеркнул, что Палестина не просит международное сообщество поставлять ей оружие, а всего лишь призывает к соблюдению международного права",https://tass.ru/mezhdunarodnaya-panorama/24134377,2025-06-04 10:59:06,В мире,parsed_rss:tass
Российские операторы дронов уничтожили украинский танк Т-72 в ДНР,"Боевую задачу выполнили солдаты центра ""Рубикон""","Боевую задачу выполнили солдаты центра ""Рубикон""",https://tass.ru/armiya-i-opk/24134297,2025-06-04 10:57:34,Армия и ОПК,parsed_rss:tass
"Суд на Украине признал виновной девушку, снявшую видео под русские песни",На суде девушка в присутствии законного представителя признала вину,На суде девушка в присутствии законного представителя признала вину,https://tass.ru/proisshestviya/24134311,2025-06-04 10:55:12,Происшествия,parsed_rss:tass
В Кабардино-Балкарии порядка 230 домовладений пострадали из-за дождей,"Глава администрации города Баксана Хачим Мамхегов сообщил, что за помощью в письменной форме обратились 39 жителей","Глава администрации города Баксана Хачим Мамхегов сообщил, что за помощью в письменной форме обратились 39 жителей",https://tass.ru/obschestvo/24134333,2025-06-04 10:54:53,Общество,parsed_rss:tass
ВС РФ зачистили село Редкодуб от ВСУ,Штурмовики установили в населенном пункте российские флаги,Штурмовики установили в населенном пункте российские флаги,https://tass.ru/armiya-i-opk/24134289,2025-06-04 10:54:43,Армия и ОПК,parsed_rss:tass
"На фестиваль ""Горький+"" приедут режиссеры из Китая и Латинской Америки",Мероприятие пройдет в Нижнем Новгороде с 20 по 22 июня,Мероприятие пройдет в Нижнем Новгороде с 20 по 22 июня,https://tass.ru/kultura/24134063,2025-06-04 10:50:45,Общество,parsed_rss:tass
В ДНР предложили компенсировать беременным проезд на консультации к врачу,"Вице-спикер регионального парламента Алексей Дорофеев сообщил, что также рассматривается законопроект, направленный на запрет любых действий, побуждающих женщин к искусственному прерыванию беременности","Вице-спикер регионального парламента Алексей Дорофеев сообщил, что также рассматривается законопроект, направленный на запрет любых действий, побуждающих женщин к искусственному прерыванию беременности",https://tass.ru/obschestvo/24134255,2025-06-04 10:49:06,Общество,parsed_rss:tass
Захарова указала на агрессивный настрой Украины к России,"В Киеве не склонны к поиску трезвых решений по урегулированию конфликта, считает официальный представитель МИД РФ","В Киеве не склонны к поиску трезвых решений по урегулированию конфликта, считает официальный представитель МИД РФ",https://tass.ru/politika/24134269,2025-06-04 10:48:01,Политика,parsed_rss:tass
WSJ: гособлигации США становятся невыгодными из-за политики Трампа,"Издание отмечает, что высокая доходность американских облигаций нивелируется возросшими расходами на инструменты хеджирования колебаний валютных курсов","Издание отмечает, что высокая доходность американских облигаций нивелируется возросшими расходами на инструменты хеджирования колебаний валютных курсов",https://tass.ru/ekonomika/24134207,2025-06-04 10:47:05,Экономика и бизнес,parsed_rss:tass
Захарова: Зеленский зашелся в хамской истерике в адрес делегации РФ в Стамбуле,"Официальный представитель МИД России отметила, что ""чувствовалось, что достигнутые результаты кое-кого явно раздосадовали""","Официальный представитель МИД России отметила, что ""чувствовалось, что достигнутые результаты кое-кого явно раздосадовали""",https://tass.ru/politika/24134233,2025-06-04 10:46:32,Политика,parsed_rss:tass
Захарова: Россия ответственно подойдет к достигнутым в Стамбуле договоренностям,"Речь идет обо всех договоренностях, подчеркнула официальный представитель МИД РФ","Речь идет обо всех договоренностях, подчеркнула официальный представитель МИД РФ",https://tass.ru/politika/24134219,2025-06-04 10:45:38,Политика,parsed_rss:tass
Захарова: передача тел погибших между РФ и Украиной начнется в ближайшее время,"Российская сторона передаст Украине шесть тысяч тел погибших военнослужащих ВСУ, отметила официальный представитель МИД","Российская сторона передаст Украине шесть тысяч тел погибших военнослужащих ВСУ, отметила официальный представитель МИД",https://tass.ru/politika/24134197,2025-06-04 10:43:42,Политика,parsed_rss:tass
Туристические маршруты по Приморью представят на ВЭФ-2025,"Заместитель директора инвестиционного департамента КРДВ Мария Бадмацыренова заявила, что к тому моменту приморские тропы будут в стадии высокой готовности","Заместитель директора инвестиционного департамента КРДВ Мария Бадмацыренова заявила, что к тому моменту приморские тропы будут в стадии высокой готовности",https://tass.ru/obschestvo/24134169,2025-06-04 10:42:56,Общество,parsed_rss:tass
Захарова: Украина и Россия изучат представленные на переговорах меморандумы,"Киев взял паузу на рассмотрение документа, отметила официальный представитель МИД РФ","Киев взял паузу на рассмотрение документа, отметила официальный представитель МИД РФ",https://tass.ru/politika/24134187,2025-06-04 10:42:46,Политика,parsed_rss:tass
Актер Бикович считает Джоковича величайшим теннисистом в истории,"В мае Джокович стал третьим теннисистом, победившим на 100 турнирах в Открытую эру","В мае Джокович стал третьим теннисистом, победившим на 100 турнирах в Открытую эру",https://tass.ru/sport/24134179,2025-06-04 10:41:12,Спорт,parsed_rss:tass
"Захарова: Киев приложил немало усилий, чтобы сорвать очередной раунд переговоров","В ход пошли ""излюбленные ими террористические методы"", заявила официальный представитель МИД РФ","В ход пошли ""излюбленные ими террористические методы"", заявила официальный представитель МИД РФ",https://tass.ru/politika/24134135,2025-06-04 10:39:19,Политика,parsed_rss:tass
