price_per_m2,total_price_rub,area_m2,rooms,city_or_region,address_text,geo_lat,geo_lon,source,listing_url,text,audio,image,label,collected_at,date,price,level,levels,area,kitchen_area,building_type,object_type,postal_code,street_id,id_region,house_id,label_auto,confidence,label_segment_ref
80900.9900990099,2451300.0,30.3,1,66,,56.7801124,60.6993548,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 66, 1 комн., 30.3 м²",0.0,,80900.99,2026-03-20T20:35:14.212772+00:00,2021-01-01,2451300.0,15.0,31.0,30.3,0.0,0.0,2.0,620000.0,348801.0,66.0,1632918.0,mid,0.6805100081975055,mid
43939.393939393936,1450000.0,33.0,1,1,,44.6081542,40.1383814,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 1, 1 комн., 33.0 м²",0.0,,43939.39,2026-03-20T20:35:14.212772+00:00,2021-01-01,1450000.0,5.0,5.0,33.0,6.0,0.0,0.0,385000.0,348801.0,1.0,1694205.0,budget,0.6839060518292328,budget
125882.35294117648,10700000.0,85.0,3,50,,55.5400601,37.7251124,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 50, 3 комн., 85.0 м²",0.0,,125882.35,2026-03-20T20:35:14.212772+00:00,2021-01-01,10700000.0,4.0,13.0,85.0,12.0,3.0,0.0,142701.0,242543.0,50.0,681306.0,premium,0.8082888441902255,premium
37804.87804878049,3100000.0,82.0,3,1,,44.6081542,40.1383814,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 1, 3 комн., 82.0 м²",0.0,,37804.88,2026-03-20T20:35:14.212772+00:00,2021-01-01,3100000.0,3.0,5.0,82.0,9.0,0.0,0.0,385000.0,348801.0,1.0,1694205.0,budget,0.9001889630381731,budget
83333.33333333333,2500000.0,30.0,1,23,,44.7386846,37.7136681,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 23, 1 комн., 30.0 м²",0.0,,83333.33,2026-03-20T20:35:14.212772+00:00,2021-01-01,2500000.0,2.0,3.0,30.0,9.0,3.0,2.0,353960.0,439378.0,23.0,1730985.0,mid,0.8547350933649503,mid
30851.063829787236,1450000.0,47.0,2,34,,48.5111715,44.5668459,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 34, 2 комн., 47.0 м²",0.0,,30851.06,2026-03-20T20:35:14.212772+00:00,2021-01-01,1450000.0,5.0,5.0,47.0,6.0,2.0,0.0,400096.0,260588.0,34.0,1009994.0,budget,0.8731476841907941,budget
83798.88268156424,9000000.0,107.4,3,54,,55.0099136,82.9348589,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 54, 3 комн., 107.4 м²",0.0,,83798.88,2026-03-20T20:35:14.212772+00:00,2021-01-01,9000000.0,2.0,4.0,107.4,21.3,4.0,0.0,630102.0,233285.0,54.0,2823596.0,mid,0.6943697958713961,mid
55370.37037037037,2990000.0,54.0,3,3,,51.8347031,107.6005709,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 3, 3 комн., 54.0 м²",0.0,,55370.37,2026-03-20T20:35:14.212772+00:00,2021-01-01,2990000.0,1.0,2.0,54.0,7.0,0.0,0.0,670034.0,348801.0,3.0,1694205.0,budget,0.5533361816221717,budget
57934.508816120906,2300000.0,39.7,1,23,,45.0038685,39.0865107,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 23, 1 комн., 39.7 м²",0.0,,57934.51,2026-03-20T20:35:14.212772+00:00,2021-01-01,2300000.0,16.0,18.0,39.7,11.5,4.0,0.0,350065.0,523822.0,23.0,1284243.0,mid,0.4985872386868905,budget
43045.112781954886,2290000.0,53.2,2,58,,53.164362,45.033956,kaggle:mrdaniilak/russia-real-estate-2021,,"Регион 58, 2 комн., 53.2 м²",0.0,,43045.11,2026-03-20T20:35:14.212772+00:00,2021-01-01,2290000.0,2.0,2.0,53.2,16.0,5.0,0.0,440003.0,348801.0,58.0,1694205.0,budget,0.8189928912220884,budget
