row_id,pred_label,confidence,corrected_label
0,positive,0.45,positive
10,negative,0.45,positive
20,neutral,0.45,positive
30,positive,0.45,positive
40,negative,0.45,positive
50,neutral,0.45,positive
60,positive,0.45,positive
70,negative,0.45,positive
80,neutral,0.45,positive
90,positive,0.45,positive
100,negative,0.45,positive
110,neutral,0.45,positive
120,positive,0.45,positive
130,negative,0.45,positive
140,neutral,0.45,positive
150,positive,0.45,positive
160,negative,0.45,positive
170,neutral,0.45,positive
180,positive,0.45,positive
190,negative,0.45,positive
200,neutral,0.45,positive
210,positive,0.45,positive
220,negative,0.45,positive
230,neutral,0.45,positive
240,positive,0.45,positive
250,negative,0.45,positive
260,neutral,0.45,positive
270,positive,0.45,positive
280,negative,0.45,positive
290,neutral,0.45,positive
300,positive,0.45,positive
310,negative,0.45,positive
320,neutral,0.45,positive
330,positive,0.45,positive
340,negative,0.45,positive
350,neutral,0.45,positive
360,positive,0.45,positive
370,negative,0.45,positive
380,neutral,0.45,positive
390,positive,0.45,positive
400,negative,0.45,positive
410,neutral,0.45,positive
420,positive,0.45,positive
430,negative,0.45,positive
440,neutral,0.45,positive
450,positive,0.45,positive
460,negative,0.45,positive
470,neutral,0.45,positive
480,positive,0.45,positive
490,negative,0.45,positive
